Grafik Titel (*),Beschreibung (*),Unterkategorie Level - 1 (*),Keywords (getrennt durch Komma),Artikelbild Dateiname1 (*),Artikelbild Dateiname2,Artikelbild Dateiname3,Artikelbild Dateiname4,Artikelbild Dateiname5,Wasserzeichen zu Bildern hinzufügen,Verfügbarkeit (*),Preis,Format,Rechte (*),Epoche (*),Jahr,Farbe,Artikelgröße (Länge),Artikelgröße (Breite),Artikelgröße (Höhe),Artikelgröße (Unit)
"Serbien Nature","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"grün, Serbien, Fremdenverkehr, Wald, Plakat, Reisen, Tourismus, rechtefreies Plakat",1690577116671_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Veranstaltungsreihe Anarchismus","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Links, Politisch, Punks, Demonstration, Plakat, Hochformat",1690577117323_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Nehmt Euch Die Häuser","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Hochformat, Links, Politisch, Punks, Demonstration",1690577117987_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"MA40 Sozialamt “Leben ohne Not”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Unterstützung, Plakat, rechtefreies Plakat, Querformat, braun, Poster, Sozial, Soziales, beige, MA40, sand, Sozialamt, Stadt Wien, Not",1690577118082_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"EU-Vortrag “Förderungen Landwirtschaft”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, Hochformat, EU, Poster, Landwirtschaft, Politik, Agrar, Bauern",1690577118092_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Moschee Tirol","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, Hochformat, Poster, Politik, Rechtsruck, Rechts, Parteien, Wahlkampf",1690577120013_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"DJ Sacrifice","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Nightlife, Musik, Nachtclub, Veranstaltung, Bar, Konzert, bunt, Jugendkultur, Pop, Sänger, Jugendzimmer, lila, Plakat, Event, rechtefreies Plakat, Party, Hochformat",1690577122745_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Dia Show Ägypten","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Hochformat, bunt, Uni, Universität, Vortrag, Dia-Show",1690577123954_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"One Earth – “red hair”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Immigrant, Plakat, Asylant, rechtefreies Plakat, sand, grau, Hochformat, NGO, Spenden, Jugendzimmer, NPO, Hilfe, Menschenrechte, helfen, Poster, Junge, Sozial, Einwanderer, Flüchtling",1690577124851_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Kindersommerfest Vintage","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Vintage, Kinderfest, Fest, Feier, beige, Feuerwehr, Dorf, Kleinstadt, Plakat, Frühschoppen, Hochformat, Sommerfest, rot, Gemeinde",1690577125100_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
